t,rainfall,action_s,action_e,action_h,action_p,flood_depth,flow,displaced,vulnerable,infected,contamination,healthcare,damage,failures,econ_loss,deaths,shelter_pressure,sanitation,personnel
0,0.1654333759164529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.19568625479460505,0.0,0.0,0.0,0.0,0.13234670073316232,0.0,0.1,1.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.2668786446419557,0.0,0.0,0.0,0.0,0.24919169434889765,0.07940802043989739,0.2594080204398974,1.0196,0.030199999999999998,0.06617335036658116,0.004,0.05293868029326493,0.0,0.026000000000000002,0.044469340146632466,0.1,0.0,0.0
3,1.7152630746824247,0.0,0.0,0.0,0.0,0.3852987258700183,0.18226761574321304,0.48880464113721545,0.9866957212601832,0.07760010248483676,0.25723853768766247,0.010015840000000002,0.16849696212080345,0.03176320817595896,0.10811707620528546,0.1422803535703619,0.3594080204398974,0.0,0.0
4,0.1802833615858628,0.0,1.0,0.0,0.0,1.62893523489133,0.2935020903373591,0.8423790506098408,0.863542089384505,0.19214050418841092,0.6462949324885369,0.02525316037048217,0.35906997561745335,0.12965018299752518,0.3092621032968845,0.33489359677869246,0.8482126615771128,0.0,0.0
5,0.18948159449101262,1.0,1.0,0.0,1.0,1.1675010066776532,1.0696461972752165,1.7075448563477216,0.44774190327747315,0.5440904780893919,1.8590696452115525,0.06140119946965776,1.069344487641457,0.3171600755393653,0.7308681281213674,0.9047029603197676,1.181664115240686,0.0,0.0
6,0.2689638652452727,1.0,1.0,1.0,1.0,0.7191438271058472,1.0839256266846715,2.315421284454174,0.09128474758183902,0.6658202529522699,1.8584999425746338,0.1557481298677928,1.2156018859468332,0.660126718375649,1.7902060680900582,1.6321701727100923,2.180210502443996,1.0,0.5
7,0.20211007751484317,1.0,1.0,0.0,1.0,0.5437332526709331,0.7561360276638672,2.583091972638667,0.0759996496138635,0.1168764817616359,2.1104384641751066,0.8270467278680551,1.1122435991526898,0.7099790641382544,3.203327842595567,2.4559999555665963,3.187505485431773,1.8,0.8209793931909941
8,0.2711351420316186,1.0,1.0,0.0,0.0,0.4213485728955842,0.46680530354424093,2.552810338632593,0.07365622790714556,0.09084423928358197,2.2920246270004876,0.5962152171190971,0.9248423061774916,0.6905297026162777,4.4838982469681685,3.16739441815242,3.858094166811376,2.44,0.7950061635098091
9,2.695109676722922,1.0,1.0,0.0,1.0,0.4339159174799344,0.26527402143407036,2.343156484466649,0.07597224831669434,0.08217055219034056,2.333034432147149,0.43886979477709764,1.1867427960445736,0.8622564367317552,5.6678623899972695,3.915519493247796,4.096048005357144,2.952,0.08206081493170458
10,0.13415332367607014,1.0,1.0,0.0,0.0,2.356839565782615,0.06924645555473863,2.527011683940417,0.07543474623200246,0.08429725058071344,2.5150670642636292,0.29672414836638783,0.8199925693010746,0.7016592145582883,6.980744545658233,4.669066207842031,3.9815756866095064,3.3616,0.4890389336029176
11,0.2888125897874675,1.0,1.0,0.0,1.0,1.3705921687933835,1.2178139813241704,3.4378994833613534,0.0,0.1982724073745039,3.1983579560743323,0.22530129935159782,1.7765776867250682,0.8484415508672781,8.120096771164276,5.817295998563241,4.11964195858422,3.68928,0.0
12,0.2772743077504148,1.0,1.0,0.0,1.0,0.7034718970496538,1.1035266993455117,3.8725266371759792,0.05,0.09302633054548268,3.5258952065239564,0.17955958109137657,1.6800885071447218,0.7554623009854047,9.917166085085835,6.911894667145588,5.085756266795041,3.9514240000000003,0.5
13,0.14509578082027577,1.0,1.0,0.0,1.0,0.47787076426860586,0.6189876067253595,3.5324242779782598,0.04408083946023853,0.0992533994897047,3.501964383651583,0.14056389569372346,1.3421383522613248,0.7753305972966054,11.693799634936727,7.979963460450481,5.9068291438939955,4.1611392,0.008283391491416436
14,0.17446756120948415,1.0,1.0,0.0,0.0,0.3223124236143794,0.27026332095291383,3.0701735394872256,0.05510754885785811,0.08597935194481302,3.4274831175039036,0.1140308910104198,0.9860150031831767,0.7236538712763458,13.277048090202463,9.054271491817868,5.895155935535858,4.32891136,0.48891052741174373
15,0.08059815735076646,1.0,1.0,0.0,1.0,0.301631768418431,0.06409640708494316,2.547258194639231,0.06579358234146823,0.0800203499352949,3.0797919178513493,0.09625834268731676,1.1689926368195112,0.8871427286722133,14.600744153467161,10.046138366707208,5.4282359137015685,4.4631290880000005,0.0
16,2.4354642846542847,1.0,1.0,0.0,0.0,0.2050997005111161,0.0,2.533563558201786,0.0726024999661297,0.08097985531197546,2.9226306698708346,0.07656393190553314,0.7179683071941166,0.7001575015867839,15.956656043572286,10.933211756207836,4.718552560119859,4.570503270400001,0.5
17,0.27615443126314415,1.0,1.0,0.0,0.0,2.062490201124812,0.0,2.0873607288559244,0.0826797332896545,0.07825244147562693,2.34895502790056,0.07007715123250753,0.800008187398563,0.8293239481931387,17.054913035318595,11.729531574305344,4.42098458224973,4.65640261632,0.0
18,0.11613902207582268,1.0,1.0,0.0,1.0,1.3346648763320519,0.9974916644553182,3.1500376935722776,0.0,0.18729826745318978,3.1996430271615797,0.061384233997204496,1.625004267848488,0.9112492914961489,18.14759376776915,12.822115285667737,3.8557545617558167,4.725122093056,0.0
19,0.2890116813222945,1.0,1.0,0.0,1.0,0.5934094070556828,0.9783584985670011,3.6825661388349236,0.05,0.09236643200139816,3.2715093129064265,0.07416991945692436,1.5458664173481285,0.7244066721033053,19.848292210457416,13.860213900492656,4.692339518274604,4.7800976744448,0.5
20,2.918200754443734,1.0,1.0,0.0,1.0,0.46312959517564445,0.5083291749952983,3.2912359534382394,0.0523933278461656,0.09201019930540211,3.191163344153498,0.06978136988320624,1.2059686712097375,0.7627029527367406,21.520624603605395,14.850781811620328,5.559501946144765,4.82407813955584,0.0
21,0.1694492762666027,1.0,1.0,0.0,0.0,2.547047363679563,0.23285577499122145,2.875575112848569,0.05930524276304054,0.08731949584838715,3.185432205399422,0.06561030745176068,0.8899020086741862,0.7055957497777587,22.993943503663253,15.862884886346494,5.515036731896146,4.859262511644672,0.5
22,0.023550307413625318,1.0,1.0,0.0,1.0,1.4651680625636296,1.4306260149906624,3.7357571184183325,0.0,0.20863434328050184,3.9827033226831383,0.06341065319577929,1.9552921091442557,0.8627903099587528,24.23345347836826,17.24413281503699,5.081589805607027,4.8874100093157375,0.0
23,0.14387319186135972,1.0,1.0,0.0,1.0,0.47149157946527254,1.2556941911211483,4.164253136367316,0.05,0.10283643225905019,4.100522511844419,0.08060755500439248,1.8498384825957122,0.7649242315125948,26.170428172677283,18.497378552034963,5.7683930406611434,4.90992800745259,0.5
